priority,image_filename,title,slug,tier,cluster,primary_keyword,article_written,authored_by_project,image_exists
169,customer-success-manager-resume-guide.png,Customer Success Manager Resume: Numbers That Make the Case for You,customer-success-manager-resume-guide,Tier 1,Resume Examples,customer success manager resume,no,no,no
170,sdr-resume-guide.png,Sales Development Rep (SDR) Resume: Writing Impact When Results Are Shared,sdr-resume-guide,Tier 1,Resume Examples,sdr resume,no,no,no
171,account-executive-resume-guide.png,Enterprise Account Executive Resume: The Metrics Worth Putting on Page One,account-executive-resume-guide,Tier 1,Resume Examples,account executive resume,no,no,no
172,revenue-operations-resume-guide.png,Revenue Operations Analyst Resume: From Responsibilities to Results,revenue-operations-resume-guide,Tier 1,Resume Examples,revops resume,no,no,no
173,partnerships-manager-resume-guide.png,Partnerships Manager Resume: From Responsibilities to Results,partnerships-manager-resume-guide,Tier 1,Resume Examples,partnerships manager resume,no,no,no
174,specialty-nurse-resume-guide.png,Registered Nurse (Specialty Units) Resume: Getting Certifications Read Correctly,specialty-nurse-resume-guide,Tier 1,Resume Examples,icu nurse resume,no,no,no
175,clinical-research-associate-resume-guide.png,Clinical Research Associate Resume: Getting Certifications Read Correctly,clinical-research-associate-resume-guide,Tier 1,Resume Examples,clinical research associate resume,no,no,no
176,clinical-data-manager-resume-guide.png,Clinical Data Manager Resume: Getting Certifications Read Correctly,clinical-data-manager-resume-guide,Tier 1,Resume Examples,clinical data manager resume,no,no,no
177,regulatory-affairs-resume-guide.png,Regulatory Affairs Specialist Resume: Writing Patient-Facing Work as Evidence,regulatory-affairs-resume-guide,Tier 1,Resume Examples,regulatory affairs resume,no,no,no
178,pharmacovigilance-resume-guide.png,Pharmacovigilance Associate Resume: Writing Patient-Facing Work as Evidence,pharmacovigilance-resume-guide,Tier 1,Resume Examples,pharmacovigilance resume,no,no,no
179,medical-science-liaison-resume-guide.png,Medical Science Liaison Resume: Getting Certifications Read Correctly,medical-science-liaison-resume-guide,Tier 1,Resume Examples,medical science liaison resume,no,no,no
180,biomedical-engineer-resume-guide.png,"Biomedical Engineer Resume: Settings, Volumes and Specialisms That Count",biomedical-engineer-resume-guide,Tier 1,Resume Examples,biomedical engineer resume,no,no,no
181,research-scientist-resume-guide.png,Research Scientist Resume: Licensure and Where It Belongs,research-scientist-resume-guide,Tier 1,Resume Examples,research scientist resume,no,no,no
182,bioinformatics-scientist-resume-guide.png,Bioinformatics Scientist Resume: Getting Certifications Read Correctly,bioinformatics-scientist-resume-guide,Tier 1,Resume Examples,bioinformatics resume,no,no,no
183,lab-manager-resume-guide.png,"Lab Manager Resume: Credentials, Clinical Detail and Keywords",lab-manager-resume-guide,Tier 1,Resume Examples,lab manager resume,no,no,no
184,veterinary-technician-resume-guide.png,Veterinary Technician Resume: Getting Certifications Read Correctly,veterinary-technician-resume-guide,Tier 1,Resume Examples,vet tech resume,no,no,no
185,dental-assistant-resume-guide.png,Dental Assistant Resume: Writing Patient-Facing Work as Evidence,dental-assistant-resume-guide,Tier 1,Resume Examples,dental assistant resume,no,no,no
186,surgical-technologist-resume-guide.png,Surgical Technologist Resume: Licensure and Where It Belongs,surgical-technologist-resume-guide,Tier 1,Resume Examples,surgical technologist resume,no,no,no
187,healthcare-administrator-resume-guide.png,"Healthcare Administrator Resume: Credentials, Clinical Detail and Keywords",healthcare-administrator-resume-guide,Tier 1,Resume Examples,healthcare administrator resume,no,no,no
188,medical-biller-coder-resume-guide.png,Medical Biller and Coder Resume: Licensure and Where It Belongs,medical-biller-coder-resume-guide,Tier 1,Resume Examples,medical coder resume,no,no,no
189,mental-health-counselor-resume-guide.png,Mental Health Counselor Resume: Writing Patient-Facing Work as Evidence,mental-health-counselor-resume-guide,Tier 1,Resume Examples,counselor resume,no,no,no
190,social-worker-resume-guide.png,What a Social Worker Resume Must Show Before an Interview,social-worker-resume-guide,Tier 1,Resume Examples,social worker resume,no,no,no
191,dietitian-nutritionist-resume-guide.png,Dietitian / Nutritionist Resume: Licensure and Where It Belongs,dietitian-nutritionist-resume-guide,Tier 1,Resume Examples,dietitian resume,no,no,no
192,paramedic-emt-resume-guide.png,"Paramedic / EMT Resume: Settings, Volumes and Specialisms That Count",paramedic-emt-resume-guide,Tier 1,Resume Examples,paramedic resume,no,no,no
193,public-health-analyst-resume-guide.png,"Public Health Analyst Resume: Credentials, Clinical Detail and Keywords",public-health-analyst-resume-guide,Tier 1,Resume Examples,public health resume,no,no,no
194,career-change-resume-what-changes.png,The Career-Change Resume: What Actually Has to Change,career-change-resume-what-changes,Tier 1,Career Change,career change resume what to change,no,no,no
195,translating-experience-new-industry.png,Translating Your Experience Into a New Industry's Language,translating-experience-new-industry,Tier 1,Career Change,translate experience new industry,no,no,no
196,achievements-that-survive-a-pivot.png,Which of Your Achievements Still Count After a Pivot,achievements-that-survive-a-pivot,Tier 1,Career Change,transferable achievements career change,no,no,no
197,reframing-irrelevant-experience.png,Reframing Ten Years of the Wrong Experience,reframing-irrelevant-experience,Tier 1,Career Change,reframe irrelevant experience,no,no,no
198,career-change-opening-line.png,The First Line of a Career-Change Resume,career-change-opening-line,Tier 1,Career Change,career change resume opening,no,no,no
199,skills-first-layout-for-changers.png,Should a Career Changer Use a Skills-First Layout?,skills-first-layout-for-changers,Tier 1,Career Change,skills based resume career change,no,no,no
200,teacher-to-corporate-resume.png,Teaching to Corporate: Rewriting the Classroom,teacher-to-corporate-resume,Tier 1,Career Change,teacher to corporate resume,no,no,no
201,military-to-civilian-translation.png,"Military to Civilian: Translating Rank, Role and Scope",military-to-civilian-translation,Tier 1,Career Change,military to civilian resume translation,no,no,no
202,academic-cv-to-industry-resume.png,Academia to Industry: Cutting the CV Down to a Resume,academic-cv-to-industry-resume,Tier 1,Career Change,academic cv to industry resume,no,no,no
203,phd-to-industry-resume.png,PhD to Industry: What to Keep From the Thesis Years,phd-to-industry-resume,Tier 1,Career Change,phd to industry resume,no,no,no
204,clinical-to-non-clinical-resume.png,Clinical to Non-Clinical: Leaving Bedside Work on Paper,clinical-to-non-clinical-resume,Tier 1,Career Change,nurse to non clinical resume,no,no,no
205,finance-to-tech-resume.png,Finance to Tech: Which Parts of the Story Survive,finance-to-tech-resume,Tier 1,Career Change,finance to tech resume,no,no,no
206,marketing-to-product-resume.png,Marketing to Product Management: Closing the Credibility Gap,marketing-to-product-resume,Tier 1,Career Change,marketing to product manager resume,no,no,no
207,analyst-to-data-scientist-resume.png,Analyst to Data Scientist: Where the Line Really Is,analyst-to-data-scientist-resume,Tier 1,Career Change,analyst to data scientist resume,no,no,no
208,freelance-to-fulltime-resume.png,Freelancer Going Full-Time: Presenting Years of Client Work,freelance-to-fulltime-resume,Tier 1,Career Change,freelance to full time resume,no,no,no
209,founder-returning-to-employment.png,Founder Going Back to Employment,founder-returning-to-employment,Tier 1,Career Change,founder to employee resume,no,no,no
210,second-career-after-fifty.png,A Second Career After Fifty,second-career-after-fifty,Tier 1,Career Change,career change at 50 resume,no,no,no
211,age-signals-on-a-resume.png,Age Signals on a Resume and Which to Remove,age-signals-on-a-resume,Tier 1,Career Change,hide age on resume,no,no,no
212,explaining-the-gap-on-paper.png,Explaining a Career Gap on the Resume Itself,explaining-the-gap-on-paper,Tier 1,Career Gaps & Setbacks,how to explain gap on resume,no,no,no
213,gap-length-changes-the-answer.png,Gap Length Changes the Answer: Three Months vs Three Years,gap-length-changes-the-answer,Tier 1,Career Gaps & Setbacks,length of career gap resume,no,no,no
214,listing-a-break-as-an-entry.png,Should You Put the Gap in the Experience Section?,listing-a-break-as-an-entry,Tier 1,Career Gaps & Setbacks,list career break on resume,no,no,no
215,caregiving-gap-on-resume.png,A Gap for Caregiving,caregiving-gap-on-resume,Tier 1,Career Gaps & Setbacks,career gap caregiving resume,no,no,no
216,parental-leave-gap-resume.png,A Gap for Parental Leave,parental-leave-gap-resume,Tier 1,Career Gaps & Setbacks,maternity leave gap resume,no,no,no
217,health-gap-how-much-to-say.png,A Gap for Health Reasons: How Much to Say,health-gap-how-much-to-say,Tier 1,Career Gaps & Setbacks,health gap on resume,no,no,no
218,layoff-gap-on-resume.png,A Gap After Redundancy or Layoff,layoff-gap-on-resume,Tier 1,Career Gaps & Setbacks,laid off gap resume,no,no,no
219,gap-with-nothing-to-show.png,A Gap With Nothing to Show For It,gap-with-nothing-to-show,Tier 1,Career Gaps & Setbacks,unexplained gap resume,no,no,no
220,currently-unemployed-resume-top.png,Currently Unemployed: What Goes at the Top,currently-unemployed-resume-top,Tier 1,Career Gaps & Setbacks,currently unemployed resume,no,no,no
221,filling-a-gap-in-progress.png,Filling a Current Gap So It Stops Growing,filling-a-gap-in-progress,Tier 1,Career Gaps & Setbacks,fill employment gap now,no,no,no
222,job-hopping-on-paper.png,Job Hopping on Paper: When It Reads as a Pattern,job-hopping-on-paper,Tier 1,Career Gaps & Setbacks,job hopping resume,no,no,no
223,fired-what-the-resume-says.png,Being Fired and What the Resume Says About It,fired-what-the-resume-says,Tier 1,Career Gaps & Setbacks,fired resume what to write,no,no,no
224,resume-after-many-rejections.png,Applying After a Long Stretch of Rejections,resume-after-many-rejections,Tier 1,Career Gaps & Setbacks,resume after many rejections,no,no,no
225,diagnosing-a-resume-that-fails.png,Diagnosing a Resume That Keeps Failing,diagnosing-a-resume-that-fails,Tier 1,Career Gaps & Setbacks,why resume not getting interviews,no,no,no
226,resume-problem-or-targeting-problem.png,When It's the Resume and When It's the Targeting,resume-problem-or-targeting-problem,Tier 1,Career Gaps & Setbacks,resume or job targeting problem,no,no,no
227,defending-your-resume-line-by-line.png,Defending Every Line of Your Resume in an Interview,defending-your-resume-line-by-line,Tier 1,Interview Preparation,interview questions about resume,no,no,no
228,walk-me-through-your-resume.png,'Walk Me Through Your Resume' — A Structure That Works,walk-me-through-your-resume,Tier 1,Interview Preparation,walk me through your resume,no,no,no
229,interview-question-about-the-gap.png,Answering Questions About the Gap They Spotted,interview-question-about-the-gap,Tier 1,Interview Preparation,interview question career gap,no,no,no
230,interview-why-the-career-change.png,Explaining a Career Change When They Ask 'Why Now?',interview-why-the-career-change,Tier 1,Interview Preparation,interview why career change,no,no,no
231,interview-short-stints.png,Explaining Short Stints Without Sounding Defensive,interview-short-stints,Tier 1,Interview Preparation,interview question job hopping,no,no,no
232,questioned-about-a-metric.png,When They Ask About a Number on Your Resume,questioned-about-a-metric,Tier 1,Interview Preparation,interview asked about resume metric,no,no,no
233,bullets-into-interview-stories.png,Turning Your Resume Bullets Into Interview Stories,bullets-into-interview-stories,Tier 1,Interview Preparation,resume bullets to interview answers,no,no,no
234,building-a-story-bank.png,Building a Story Bank From Your Own Work History,building-a-story-bank,Tier 1,Interview Preparation,interview story bank,no,no,no
235,what-the-recruiter-screen-checks.png,The Recruiter Screen: What They're Really Checking,what-the-recruiter-screen-checks,Tier 1,Interview Preparation,recruiter screening call,no,no,no
236,salary-question-first-call.png,Salary Expectations on the First Call,salary-question-first-call,Tier 1,Interview Preparation,salary expectation first call,no,no,no
237,async-video-interview-takes.png,Asynchronous Video Interviews: Recording a Good Take,async-video-interview-takes,Tier 1,Interview Preparation,one way video interview tips,no,no,no
238,ai-scored-interviews.png,AI-Scored Interviews: What the System Measures,ai-scored-interviews,Tier 1,Interview Preparation,ai interview scoring,no,no,no
239,star-without-sounding-rehearsed.png,STAR Answers That Don't Sound Rehearsed,star-without-sounding-rehearsed,Tier 1,Interview Preparation,natural star method answers,no,no,no
240,tell-me-about-yourself-90-seconds.png,'Tell Me About Yourself' in Ninety Seconds,tell-me-about-yourself-90-seconds,Tier 1,Interview Preparation,tell me about yourself answer,no,no,no
241,why-this-company-answer.png,Answering 'Why This Company' Without Flattery,why-this-company-answer,Tier 1,Interview Preparation,why this company answer,no,no,no
242,why-are-you-leaving-answer.png,Answering 'Why Are You Leaving?' Honestly,why-are-you-leaving-answer,Tier 1,Interview Preparation,why are you leaving answer,no,no,no
243,failure-story-that-works.png,A Failure Story That Doesn't Damage You,failure-story-that-works,Tier 1,Interview Preparation,tell me about a failure,no,no,no
244,conflict-story-that-works.png,A Conflict Story That Doesn't Blame Anyone,conflict-story-that-works,Tier 1,Interview Preparation,tell me about a conflict,no,no,no
245,when-you-have-no-example.png,When You Genuinely Have No Example,when-you-have-no-example,Tier 1,Interview Preparation,no example for interview question,no,no,no
246,live-coding-without-freezing.png,Live Coding Without Freezing,live-coding-without-freezing,Tier 1,Interview Preparation,live coding interview nerves,no,no,no
247,not-knowing-in-a-tech-round.png,When You Don't Know the Answer in a Technical Round,not-knowing-in-a-tech-round,Tier 1,Interview Preparation,dont know answer technical interview,no,no,no
248,sql-interview-rounds.png,SQL Interview Rounds: What They Actually Test,sql-interview-rounds,Tier 1,Interview Preparation,sql interview questions,no,no,no
249,product-sense-interview.png,Product Sense Interviews for Product Roles,product-sense-interview,Tier 1,Interview Preparation,product sense interview,no,no,no
250,design-portfolio-review.png,Design Portfolio Reviews: Presenting Three Projects,design-portfolio-review,Tier 1,Interview Preparation,design portfolio interview,no,no,no
251,take-home-scope-and-time.png,"The Take-Home Assignment: Scope, Time and Polish",take-home-scope-and-time,Tier 1,Interview Preparation,take home assignment scope,no,no,no
252,questions-worth-asking.png,Questions Worth Asking That Aren't Generic,questions-worth-asking,Tier 1,Interview Preparation,good questions to ask interviewer,no,no,no
253,follow-up-that-adds-something.png,The Follow-Up Note That Adds Something,follow-up-that-adds-something,Tier 1,Interview Preparation,interview follow up email,no,no,no
254,chasing-after-silence.png,Chasing After Silence Without Nagging,chasing-after-silence,Tier 1,Interview Preparation,no response after interview,no,no,no
255,two-day-interview-prep.png,Preparing in Two Days When You Have a Job,two-day-interview-prep,Tier 1,Interview Preparation,interview prep short notice,no,no,no
256,practising-out-loud.png,Practising Out Loud vs Reading Your Notes,practising-out-loud,Tier 1,Interview Preparation,how to practice interview answers,no,no,no
257,rehearsing-alone.png,Rehearsing With No One to Practise On,rehearsing-alone,Tier 1,Interview Preparation,practice interview alone,no,no,no
258,do-cover-letters-still-matter.png,Does Anyone Read Cover Letters in 2026? When to Bother,do-cover-letters-still-matter,Tier 1,Cover Letters,do cover letters matter 2026,no,no,no
259,cover-letter-in-four-paragraphs.png,A Cover Letter in Four Paragraphs,cover-letter-in-four-paragraphs,Tier 1,Cover Letters,cover letter structure,no,no,no
260,cover-letter-first-line.png,The First Line That Isn't 'I Am Writing to Apply',cover-letter-first-line,Tier 1,Cover Letters,cover letter opening line,no,no,no
261,letter-that-adds-not-repeats.png,A Cover Letter That Isn't Your Resume in Prose,letter-that-adds-not-repeats,Tier 1,Cover Letters,cover letter vs resume content,no,no,no
262,the-pivot-paragraph.png,The Paragraph That Explains Your Pivot to a Hiring Manager,the-pivot-paragraph,Tier 1,Cover Letters,explain career change in cover letter,no,no,no
263,cover-letter-explaining-gap.png,A Cover Letter Explaining a Gap,cover-letter-explaining-gap,Tier 1,Cover Letters,cover letter career gap,no,no,no
264,cover-letter-first-job.png,A Cover Letter With No Experience,cover-letter-first-job,Tier 1,Cover Letters,cover letter student no experience,no,no,no
265,mirroring-the-jd-in-a-letter.png,Mirroring the Job Description Without Copying It,mirroring-the-jd-in-a-letter,Tier 1,Cover Letters,cover letter match job description,no,no,no
266,should-ai-write-your-letter.png,Should AI Write Your Cover Letter? Where the Line Is,should-ai-write-your-letter,Tier 1,Cover Letters,ai written cover letter,no,no,no
267,linkedin-headline-as-search-field.png,"Your LinkedIn Headline Is a Search Field, Not a Title",linkedin-headline-as-search-field,Tier 1,LinkedIn & Personal Branding,linkedin headline keywords,no,no,no
268,linkedin-about-section.png,The About Section That Gets Read Past Two Lines,linkedin-about-section,Tier 1,LinkedIn & Personal Branding,linkedin about section,no,no,no
269,why-recruiters-cant-find-you.png,Why Recruiters Can't Find You in LinkedIn Search,why-recruiters-cant-find-you,Tier 1,LinkedIn & Personal Branding,linkedin not showing in recruiter search,no,no,no
270,linkedin-skills-that-rank.png,Which LinkedIn Skills Actually Affect Ranking,linkedin-skills-that-rank,Tier 1,LinkedIn & Personal Branding,linkedin skills section,no,no,no
271,linkedin-versus-resume-consistency.png,Should Your LinkedIn Match Your Resume Exactly?,linkedin-versus-resume-consistency,Tier 1,LinkedIn & Personal Branding,linkedin match resume,no,no,no
272,open-to-work-badge-decision.png,"Open to Work: The Badge, the Risk and the Alternative",open-to-work-badge-decision,Tier 1,LinkedIn & Personal Branding,linkedin open to work badge,no,no,no
273,job-searching-quietly.png,Job Searching Quietly While Employed,job-searching-quietly,Tier 1,LinkedIn & Personal Branding,confidential job search linkedin,no,no,no
274,messaging-a-recruiter.png,Messaging a Recruiter on LinkedIn Without Being Ignored,messaging-a-recruiter,Tier 1,LinkedIn & Personal Branding,message recruiter linkedin,no,no,no
275,cold-outreach-that-works.png,Cold Outreach to a Hiring Manager,cold-outreach-that-works,Tier 1,LinkedIn & Personal Branding,cold message hiring manager,no,no,no
276,asking-a-weak-tie-for-referral.png,Asking for a Referral From Someone You Barely Know,asking-a-weak-tie-for-referral,Tier 1,LinkedIn & Personal Branding,ask for referral linkedin,no,no,no
277,who-needs-a-portfolio.png,Who Actually Needs a Portfolio (and Who Doesn't),who-needs-a-portfolio,Tier 1,Portfolio,do i need a portfolio,no,no,no
278,portfolio-from-your-resume.png,Building a Portfolio Site From the Resume You Already Have,portfolio-from-your-resume,Tier 1,Portfolio,portfolio from resume,no,no,no
279,three-projects-beat-twelve.png,Three Projects Beat Twelve: Curating a Portfolio,three-projects-beat-twelve,Tier 1,Portfolio,how many projects portfolio,no,no,no
280,writing-a-project-case-study.png,Writing a Project Case Study a Recruiter Will Finish,writing-a-project-case-study,Tier 1,Portfolio,portfolio case study format,no,no,no
281,coursework-into-portfolio-pieces.png,Turning Coursework and Personal Projects Into Portfolio Pieces,coursework-into-portfolio-pieces,Tier 1,Portfolio,coursework portfolio projects,no,no,no
282,data-portfolio-that-shows-judgment.png,"A Data Portfolio That Shows Judgment, Not Just Charts",data-portfolio-that-shows-judgment,Tier 1,Portfolio,data analyst portfolio,no,no,no
283,developer-portfolio-beyond-github.png,A Developer Portfolio Beyond a GitHub Link,developer-portfolio-beyond-github,Tier 1,Portfolio,developer portfolio github,no,no,no
284,ai-without-losing-your-voice.png,Using AI on Your Resume Without Losing Your Voice,ai-without-losing-your-voice,Tier 1,AI & Careers,ai resume writing voice,no,no,no
285,what-ai-gets-wrong.png,What AI Gets Wrong About Your Resume,what-ai-gets-wrong,Tier 1,AI & Careers,ai resume mistakes,no,no,no
286,factchecking-an-ai-resume.png,Fact-Checking an AI-Written Resume Before You Send It,factchecking-an-ai-resume,Tier 1,AI & Careers,check ai resume accuracy,no,no,no
287,ai-invented-a-skill.png,AI Invented a Skill You Don't Have — Catching It,ai-invented-a-skill,Tier 1,AI & Careers,ai hallucinated resume skill,no,no,no
288,is-using-ai-cheating.png,Is Using AI on a Job Application Cheating?,is-using-ai-cheating,Tier 1,AI & Careers,is ai resume cheating,no,no,no
289,ai-tools-worth-using.png,AI Tools That Help a Job Search and Ones That Waste Time,ai-tools-worth-using,Tier 1,AI & Careers,ai job search tools,no,no,no
290,auto-apply-bots-reality.png,Auto-Apply Bots: Why Volume Without Tailoring Fails,auto-apply-bots-reality,Tier 1,AI & Careers,auto apply bots jobs,no,no,no
291,ai-skills-worth-adding.png,AI Skills Worth Adding to a Resume This Year,ai-skills-worth-adding,Tier 1,AI & Careers,ai skills on resume,no,no,no
292,applications-per-week-realistic.png,How Many Applications a Week Is Realistic,applications-per-week-realistic,Tier 1,Job Search Strategy,how many applications per week,no,no,no
293,quality-versus-volume.png,Quality vs Volume: The Numbers Behind Both Strategies,quality-versus-volume,Tier 1,Job Search Strategy,quality vs quantity job applications,no,no,no
294,what-happens-after-submit.png,Where Your Applications Actually Go After Submit,what-happens-after-submit,Tier 1,Job Search Strategy,what happens after you apply,no,no,no
295,company-site-or-job-board.png,Company Site or Job Board: Which Application Wins,company-site-or-job-board,Tier 1,Job Search Strategy,apply company site or job board,no,no,no
296,when-easy-apply-is-worth-it.png,When Easy Apply Is Worth It and When It Isn't,when-easy-apply-is-worth-it,Tier 1,Job Search Strategy,linkedin easy apply worth it,no,no,no
297,one-page-resume-no-jobs.png,A One-Page Resume When You've Never Had a Job,one-page-resume-no-jobs,Tier 1,Resume Writing,resume no work experience one page,no,no,no
298,what-fills-a-fresher-resume.png,What Fills the Page When Experience Is Empty,what-fills-a-fresher-resume,Tier 1,Resume Writing,what to put on resume no experience,no,no,no
299,university-projects-as-work.png,University Projects Written as Professional Work,university-projects-as-work,Tier 1,Resume Sections,college projects on resume,no,no,no
300,internship-with-no-internships.png,Applying for an Internship With No Internships,internship-with-no-internships,Tier 1,Resume Tailoring,internship resume no experience,no,no,no
301,graduate-scheme-resume.png,A Graduate Scheme Application Resume,graduate-scheme-resume,Tier 1,Resume Tailoring,graduate scheme resume,no,no,no
302,placement-resume-many-companies.jpg,"Campus Placement Resume: One Document, Many Companies",placement-resume-many-companies,Tier 1,Resume Tailoring,placement resume multiple companies,yes,yes,no
303,first-resume-after-bootcamp.png,Your First Resume After a Bootcamp,first-resume-after-bootcamp,Tier 1,Resume Tailoring,bootcamp graduate resume,no,no,no
304,self-taught-no-degree-resume.png,Self-Taught With No Degree: Building Credibility,self-taught-no-degree-resume,Tier 1,Resume Tailoring,self taught developer resume,no,no,no
305,six-months-post-graduation.png,Six Months Post-Graduation With No Offers,six-months-post-graduation,Tier 1,Resume Tailoring,no job after graduation resume,no,no,no
306,second-job-resume-changes.png,Your Second Job: What Changes From the First Resume,second-job-resume-changes,Tier 1,Resume Writing,second job resume,no,no,no
307,two-years-in-going-mid-level.jpg,Two Years In and Applying for a Mid-Level Role,two-years-in-going-mid-level,Tier 1,Resume Tailoring,2 years experience resume,yes,yes,no
308,title-undersells-your-work.png,When Your Title Undersells What You Do,title-undersells-your-work,Tier 1,Resume Sections,title undersells work,no,no,no
309,leaving-before-one-year.png,Leaving a First Job Before a Year,leaving-before-one-year,Tier 1,Resume Tailoring,leaving job before one year resume,no,no,no
310,twenty-years-two-pages.png,Twenty Years of Experience on Two Pages,twenty-years-two-pages,Tier 1,Resume Writing,20 years experience resume length,no,no,no
311,what-senior-resumes-drop.png,What a Senior Resume Stops Including,what-senior-resumes-drop,Tier 1,Resume Writing,senior resume what to remove,no,no,no
312,scope-budget-headcount.png,"Scope, Budget and Headcount: The Senior Metrics",scope-budget-headcount,Tier 1,Resume Bullets & Achievements,senior resume metrics,no,no,no
313,executive-resume-is-different.png,An Executive Resume Is a Different Document,executive-resume-is-different,Tier 1,Resume Writing,executive resume format,no,no,no
314,first-management-role-resume.jpg,Moving From Senior IC to First Management Role,first-management-role-resume,Tier 1,Resume Tailoring,ic to manager resume,yes,yes,no
315,reentering-after-children.png,Re-entering After Raising Children,reentering-after-children,Tier 1,Resume Tailoring,return to work after children,no,no,no
316,leaving-the-military-resume.png,A Resume for Someone Leaving the Military,leaving-the-military-resume,Tier 1,Resume Tailoring,transitioning out of military resume,no,no,no
317,resume-when-relocating.png,Relocating: A Resume for a City You Don't Live In Yet,resume-when-relocating,Tier 1,Resume Tailoring,resume for relocation,no,no,no
318,no-local-experience.png,Applying Internationally Without Local Experience,no-local-experience,Tier 1,Resume Tailoring,no local experience resume,no,no,no
319,photo-or-no-photo-by-country.png,Photo or No Photo: A Country-by-Country Decision Table,photo-or-no-photo-by-country,Tier 1,International Resumes,resume photo which countries,no,no,no
320,personal-details-by-country.png,"Date of Birth, Marital Status, Nationality: What to Cut and Where",personal-details-by-country,Tier 1,International Resumes,personal details on resume country,no,no,no
321,page-length-by-country.png,Page Length Expectations That Change by Country,page-length-by-country,Tier 1,International Resumes,resume length by country,no,no,no
322,cv-or-resume-by-country.png,CV or Resume: What the Word Means Where You're Applying,cv-or-resume-by-country,Tier 1,International Resumes,cv or resume difference country,no,no,no
323,europass-help-or-hurt.png,Europass: When It Helps and When It Hurts,europass-help-or-hurt,Tier 1,International Resumes,europass cv worth it,no,no,no
324,english-resume-non-native.png,Writing an English Resume When English Isn't Your First Language,english-resume-non-native,Tier 1,International Resumes,english resume non native speaker,no,no,no
325,translating-a-resume-well.png,Translating a Resume Without Losing the Achievements,translating-a-resume-well,Tier 1,International Resumes,translate resume to english,no,no,no
326,mentioning-work-authorisation.png,Should Your Resume Mention Work Authorisation at All?,mentioning-work-authorisation,Tier 1,International Resumes,mention visa status on resume,no,no,no
327,already-authorised-how-to-say-it.png,You Already Have the Right to Work — Saying So in One Line,already-authorised-how-to-say-it,Tier 1,International Resumes,right to work line on resume,no,no,no
328,the-sponsorship-question-field.png,The Sponsorship Question on an Application Form,the-sponsorship-question-field,Tier 1,International Resumes,sponsorship question application form,no,no,no
329,indian-resume-going-global.png,Indian Resumes for Global Roles: What to Drop,indian-resume-going-global,Tier 1,International Resumes,indian resume for international jobs,no,no,no
330,canada-versus-us-resume.png,Canadian Applications: What Differs From the US Resume,canada-versus-us-resume,Tier 1,International Resumes,canada vs us resume difference,no,no,no
331,uk-cv-personal-statement.png,UK Applications: The Personal Statement at the Top,uk-cv-personal-statement,Tier 1,International Resumes,uk cv personal statement,no,no,no
332,remote-cross-border-format.png,Remote Roles Hiring Across Borders: Which Format Wins,remote-cross-border-format,Tier 1,International Resumes,remote international resume format,no,no,no
333,one-resume-many-countries.png,One Resume for Multiple Countries: Where It Breaks,one-resume-many-countries,Tier 1,International Resumes,same resume different countries,no,no,no
334,how-tech-recruiters-skim.png,How Tech Recruiters Skim a Developer Resume,how-tech-recruiters-skim,Tier 1,Industry & Role Guides,tech recruiter resume scan,no,no,no
335,tech-stack-without-a-wall.png,Listing a Tech Stack Without a Wall of Logos,tech-stack-without-a-wall,Tier 1,Industry & Role Guides,tech stack on resume,no,no,no
336,languages-to-list-and-order.png,Which Programming Languages to List and in What Order,languages-to-list-and-order,Tier 1,Industry & Role Guides,programming languages resume order,no,no,no
337,github-when-repos-are-quiet.png,GitHub on a Resume When the Repos Are Quiet,github-when-repos-are-quiet,Tier 1,Industry & Role Guides,github on resume empty,no,no,no
338,cloud-certs-recruiters-filter.png,Certifications in Cloud: Which Ones Recruiters Filter On,cloud-certs-recruiters-filter,Tier 1,Industry & Role Guides,cloud certification resume,no,no,no
339,big-tech-committee-resume.png,A Resume for Big Tech Hiring Committees,big-tech-committee-resume,Tier 1,Industry & Role Guides,big tech resume committee,no,no,no
340,sql-depth-beyond-the-word.png,Showing SQL Depth Beyond 'SQL' in the Skills List,sql-depth-beyond-the-word,Tier 1,Industry & Role Guides,sql on resume depth,no,no,no
341,dashboards-versus-analysis.png,Dashboards vs Analysis: Framing Data Work by Outcome,dashboards-versus-analysis,Tier 1,Industry & Role Guides,data analyst resume outcomes,no,no,no
342,ml-without-production.png,Machine Learning Projects Without Production Experience,ml-without-production,Tier 1,Industry & Role Guides,ml projects no production,no,no,no
343,deal-experience-on-resume.png,Deal Experience on a Finance Resume,deal-experience-on-resume,Tier 1,Industry & Role Guides,deal experience resume,no,no,no
344,part-qualified-status-on-resume.png,"CFA, ACCA and Part-Qualified Status",part-qualified-status-on-resume,Tier 1,Industry & Role Guides,cfa on resume,no,no,no
345,modelling-skills-beyond-excel.png,Modelling Skills That Aren't Just 'Excel',modelling-skills-beyond-excel,Tier 1,Industry & Role Guides,financial modelling resume skills,no,no,no
346,audit-to-industry-move.png,Moving From Audit to Industry Finance,audit-to-industry-move,Tier 1,Industry & Role Guides,audit to industry resume,no,no,no
347,licences-and-registration-placement.png,"Licences, Registration Numbers and Where They Go",licences-and-registration-placement,Tier 1,Industry & Role Guides,nursing licence on resume,no,no,no
348,rotations-on-newgrad-resume.png,Clinical Rotations and Placements on a New-Grad Resume,rotations-on-newgrad-resume,Tier 1,Industry & Role Guides,clinical rotations resume,no,no,no
